132,ἀγάπην,33,'love',NON-FAS
133,ἀγαθόν,33,'good; [is] good; good [thing]; good; [is] good',ADJ-NAS | ADJ-NNS | ADJ-MAS
134,κόσμος,32,'world; adorning',NON-MNS
135,προφητῶν,32,'prophets; of prophets',NON-MGP
136,ἔθνεσι(ν),32,'gentiles; nations; pagans; to gentiles',NON-NDP
137,αἰῶνα,31,'age',NON-MAS
138,γέγονε(ν),31,'has become; has been; has; has come; has come into being',VRB-PfAInd3S
139,ἀγγέλων,31,'angels; of angels; messengers',NON-MGP
140,ἀνθρώπους,31,'men; of men; others',NON-MAP
141,ἁμαρτιῶν,31,'of sins; sins; of [the] sins',NON-FGP
142,ἔσονται,31,'will be; there will be; they will be; will become; will be [in]',VRB-FuMInd3P
143,ὁμοίως,31,'likewise',PAR
144,χεῖρα,30,'hand; [his] hand',NON-FAS
145,ἀγαπητοί,30,'beloved; beloved',ADJ-MVP | ADJ-MNP
146,ἀληθείᾳ,30,'truth; in truth',NON-FDS
147,ἔχειν,30,'to have; having; to be; have; to [let him] have',VRB-PrAInf
148,αἰῶνας,29,'ages; universe',NON-MAP
149,δικαιοσύνης,29,'of righteousness; righteousness; righteousness [that is]',NON-FGS
150,θαλάσσης,29,'sea; of [the] sea',NON-FGS
151,κεφαλήν,29,'head; chief; [to be] head',NON-FAS
152,ποτέ,29,'once; at any time; formerly; at last; ever',PAR | PAR
153,πυρός,29,'of fire; fire',NON-NGS
154,ἔτη,29,'years; years [old]; years',NON-NAP | NON-NNP
155,αἰώνων,28,'ages; of ages',NON-MGP
156,λόγου,28,'word; of [the] word; account; in [the] word; in talk',NON-MGS
157,μένει,28,'abides; he abides; remains; abide; he remains',VRB-PrAInd3S
158,στόμα,28,'mouth; mouth',NON-NAS | NON-NNS
159,ἀγάπῃ,28,'love; in love',NON-FDS
160,ἄνθρωποι,28,'men; fleshly; people',NON-MNP
161,χάριτος,27,'grace; of grace; of [the] grace',NON-FGS
162,χρόνον,27,'time; for a period; for a time; while',NON-MAS
163,ἁμαρτίαν,27,'sin',NON-FAS
164,γίνεται,26,'becomes; takes place; there is; it becomes; it happens',VRB-PrMInd3S
165,δυνάμει,26,'power; with power; [with] power; full strength',NON-FDS
166,λαῷ,26,'people; our people',NON-MDS
167,μακάριοι,26,'blessed [are]; blessed; [you are] blessed',ADJ-MNP
168,προφήτου,26,'prophet; of a prophet; than a prophet',NON-MGS
169,πρόβατα,26,'sheep; sheep',NON-NAP | NON-NNP
170,σάρξ,26,'flesh; flesh [is]',NON-FNS
171,ἀρχῆς,26,'beginning; principality; rule',NON-FGS
172,ἁγίῳ,26,'holy; with holy; holy',ADJ-NDS | ADJ-MDS
173,ὄντες,26,'being; were; they were',VRB-PrAParMNP
174,αἰῶνος,25,'age; eternity; of eternity; of the age; of this age',NON-MGS
175,εἰρήνην,25,'peace',NON-FAS
176,λίθον,25,'stone',NON-MAS
177,πλῆθος,25,'multitude; crowd; multitude; number; quantity',NON-NNS | NON-NAS
178,σώματι,25,'body; in body',NON-NDS
179,γῆ,24,'earth; land; ground; land',NON-FNS | NON-FVS
180,καιρῷ,24,'time; season; [due] time; [in the] season; due time',NON-MDS
181,κακόν,24,'evil; [it is] wrong; harm; injury; of wrongs',ADJ-NAS | ADJ-NNS
182,λαός,24,'people',NON-MNS
183,πατέρες,24,'fathers; patriarchs; fathers',NON-MNP | NON-MVP
184,πιστεύων,24,'believing',VRB-PrAParMNS
185,τίνα,24,'whom; which; what; what; what',PRO-MAS | PRO-FAS | PRO-NNP
186,τινάς,24,'some; certain; [for] any; any; certain ones',PRO-MAP | PRO-FAP
187,ἀσπάσασθε,24,'greet',VRB-AoMImp2P
188,ἰδίαν,24,'own; private; themselves; himself; his own',ADJ-FAS
189,Μωϋσέως,23,'of moses; moses; moses’',NON-MGS
190,διότι,23,'because; therefore; for',PAR
191,δόξῃ,23,'glory; with glory; [in] glory; should think; will think',NON-FDS | VRB-AoASub3S
192,εἰδότες,23,'knowing',VRB-PfAParMNP
193,πολύ,23,'much; great; greatly; long; loudly',ADJ-NAS | ADJ-NNS
194,φωνῆς,23,'voice; sound',NON-FGS
195,χάριτι,23,'grace; by grace; [by the] grace; in favor; with thankfulness',NON-FDS
196,ἄγγελοι,23,'angels',NON-MNP
197,ἐπαγγελίας,23,'promise; of promise; of [the] promise; of the promise; promises',NON-FGS | NON-FAP
198,ἡμέρα,23,'day; [is the] day',NON-FNS
199,ὁδῷ,23,'way; road',NON-FDS
200,δοῦλοι,22,'servants; slaves; [as] slaves; servants of',NON-MNP
201,εἰδώς,22,'knowing; having known; having knowledge of',VRB-PfAParMNS
202,λαλῆσαι,22,'to speak; speaking; spoke; to declare; to say',VRB-AoAInf
203,οἶδε(ν),22,'knows; [then] knows; does he know; has known; he knows',VRB-PfAInd3S
204,ἀντί,22,'for; in place of; in return for; instead; because of',PAR
205,ἀποστόλων,22,'apostles',NON-MGP
206,ἐκείνου,22,'that; his; of that; same; by that',PRO-MGS | PRO-NGS
207,ἡμερῶν,22,'days; of days',NON-FGP
208,Ἰούδας,22,'judas; judah; judas [son]; jude; of judas',NON-MNS
209,ὕδατος,22,'water; of water; in water; with water',NON-NGS
210,ῥῆμα,22,'word; saying; declaration; word; matter',NON-NAS | NON-NNS
211,δυνάμεως,21,'power; of power; mighty',NON-FGS
212,καιρόν,21,'time; opportunity; season; occasion',NON-MAS
213,καρδίαις,21,'hearts; in heart; minds; of hearts',NON-FDP
214,κρίμα,21,'judgment; condemnation; punishment; judgment; condemnation',NON-NAS | NON-NNS
215,μηκέτι,21,'no longer; no more',PAR
216,προφῆται,21,'prophets; prophets [were]',NON-MNP
217,ἔλαβε(ν),21,'took; received; seized; did take [it]; has received',VRB-AoAInd3S
218,αἵματι,20,'blood; in blood; to [the] blood',NON-NDS
219,αὐταῖς,20,'them; to them; these; their own; these [women]',PRO-FDP | ADJ-FDP
220,δίκαιος,20,'righteous; [is] righteous; [was] righteous; just; righteous [man]',ADJ-MNS
